Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units,New_Std Value
CHEMBL4077619,Cn1c(=O)n(C)c2cc(N3C(=O)c4cccc5cccc(c45)C3=O)ccc21,IC50,14000.0,nM,17000.0
CHEMBL4080780,COc1cc2c(cc1N1C(=O)c3cccc4cccc(c34)C1=O)n(C)c(=O)n2C,IC50,10800.0,nM,15400.0
CHEMBL4081145,Cc1cc2c(cc1N1C(=O)c3cccc4cc(Br)cc(c34)C1=O)n(C)c(=O)n2C,IC50,20000.0,nM,18500.0
CHEMBL4161145,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3c4c(nn3C)CCCC4)c12,IC50,4.9,nM,2.95
CHEMBL4159422,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CCC4)nn3C)c12,IC50,12.8,nM,7.4
CHEMBL4172277,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C)nn3C)c12,IC50,9.4,nM,5.1000000000000005
CHEMBL3930051,CCS(=O)(=O)N(CCOC)c1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,81.7,nM,188.35
CHEMBL3915649,CCS(=O)(=O)N(CC1CCCO1)c1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,32.6,nM,80.8
CHEMBL3985382,CCS(=O)(=O)N(CCC(F)(F)F)c1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,16.0,nM,56.1
CHEMBL3917193,CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]cc(C=O)c23)c1,Ki,3.1,nM,4.85
CHEMBL3965053,CCn1cc(-c2nc3cnc(N4CCN(C)CC4)cc3n2Cc2ccccc2)cc(C)c1=O,IC50,55.0,nM,55.0
CHEMBL3951457,Cc1cc(-c2nc3cnc(N4CCOC[C@@H]4C)nc3n2[C@@H](C)c2ccccc2)cn(C)c1=O,IC50,12.0,nM,12.0
CHEMBL3956811,Cc1cc(-c2nc3ccccc3n2Cc2ccccc2)c[nH]c1=O,IC50,609.0,nM,609.0
CHEMBL3974456,Cc1n[nH]c(C)c1-c1cc(-c2c(C)noc2C)cc2[nH]c(C3CC3)nc12,IC50,78.2,nM,96.72
CHEMBL3974703,Cc1noc(C)c1-c1cc(S(=O)(=O)NC2CCCC2)c2nc(NCC(F)(F)F)[nH]c2c1,IC50,180.0,nM,182.81
CHEMBL3946085,Cc1n[nH]c(C)c1-c1cc(-c2c(C)noc2C)cc2nc(C3CC3(F)F)[nH]c12,IC50,25.1,nM,93.23333333333333
CHEMBL3930704,Cn1cc(-c2cc(CN3CCCC3)ccc2OCC2CC2)c2cc[nH]c2c1=O,Ki,1290.0,nM,1445.0
CHEMBL3931770,Cn1cc(-c2cc(CC#N)ccc2OCC2CC2)c2cc[nH]c2c1=O,Ki,152.0,nM,114.1
CHEMBL3918136,COc1ccc2[nH]cc(CCNC(=O)c3ccc(Oc4ccc(F)cc4F)c(-c4cn(C)c(=O)c5[nH]ccc45)c3)c2c1,Ki,169.0,nM,244.5
CHEMBL3890730,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc3c(c2)CCC3=O)c2cc[nH]c2c1=O,Ki,22.4,nM,26.45
CHEMBL3936775,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(Cl)c(F)c2)c2cc[nH]c2c1=O,Ki,23.0,nM,26.7
CHEMBL3907177,Cn1cc(-c2cc(S(C)(=O)=O)ccc2NCC2CCOC2)c2cc[nH]c2c1=O,Ki,40.7,nM,25.450000000000003
CHEMBL3980612,CCS(=O)(=O)Nc1ccc(OCC2CC2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1C,Ki,171.0,nM,117.05
CHEMBL5266070,CCn1nc(C2CC2)cc1Nc1nc(C(=O)NCCCOCCOCCOCCCNc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)nc2[nH]c3cc(-c4c(C)noc4C)c(OC)cc3c12,IC50,22.0,nM,85.66666666666667
CHEMBL3921276,Cn1cc(-c2cc(NS(C)(=O)=O)cc(F)c2Oc2ccccc2)c2cc[nH]c2c1=O,Ki,2.5,nM,2.3
